Time_Point,Importance
927,6.266206e-07
928,6.777801e-07
929,6.661303e-07
930,6.711774e-07
931,8.5909716e-07
932,7.2485767e-07
933,7.689781e-07
934,7.870864e-07
935,1.3162596e-06
936,1.2694442e-06
937,1.0006828e-06
938,9.406557e-07
939,9.758312e-07
940,1.4126723e-06
941,1.6193304e-06
942,9.4548085e-07
943,1.131075e-06
944,1.0218839e-06
945,9.702599e-07
946,1.0705282e-06
947,1.0701029e-06
948,1.151618e-06
949,1.2512776e-06
950,8.0840147e-07
951,8.387925e-07
952,7.964347e-07
953,1.0494063e-06
954,6.6857103e-07
955,1.0532e-06
956,9.953137e-07
957,7.716105e-07
958,6.833665e-07
959,7.966214e-07
960,1.1618743e-06
961,8.623285e-07
962,9.273819e-07
963,8.712849e-07
964,8.141163e-07
965,1.3609031e-06
966,1.0290106e-06
967,9.3979105e-07
968,8.1117395e-07
969,1.0787247e-06
970,8.150435e-07
971,1.2255781e-06
972,1.2934303e-06
973,1.005061e-06
974,9.426193e-07
975,9.2660673e-07
976,1.2875755e-06
977,9.725326e-07
978,6.16722e-07
979,7.2193654e-07
980,8.3436134e-07
981,8.77619e-07
982,8.1228745e-07
983,8.2567533e-07
984,1.1148625e-06
985,7.861844e-07
986,6.5286747e-07
987,7.8584344e-07
988,6.6243945e-07
989,1.5388375e-06
990,5.9464975e-07
991,6.7219196e-07
992,8.332601e-07
993,6.1255156e-07
994,7.263042e-07
995,8.4516967e-07
996,8.204835e-07
997,7.1786087e-07
998,5.961746e-07
999,7.007816e-07
1000,6.876257e-07
1001,6.1026947e-07
1002,8.271992e-07
1003,5.073397e-07
1004,7.85312e-07
1005,4.865646e-07
1006,6.3422556e-07
1007,7.713732e-07
1008,8.0199004e-07
1009,9.232796e-07
1010,7.946034e-07
1011,7.140321e-07
1012,8.3887215e-07
1013,8.5031536e-07
1014,6.027822e-07
1015,8.8453646e-07
1016,1.4826113e-06
1017,8.1332007e-07
1018,9.383395e-07
1019,8.955218e-07
1020,7.13557e-07
1021,9.611349e-07
1022,7.05763e-07
1023,9.597809e-07
1024,5.1327726e-07
1025,7.3454214e-07
1026,7.9135623e-07
1027,7.735713e-07
1028,8.63938e-07
1029,7.5287915e-07
1030,6.607872e-07
1031,7.1259416e-07
1032,8.6747434e-07
1033,6.62685e-07
1034,6.937195e-07
1035,8.290367e-07
1036,9.0007313e-07
1037,7.4618345e-07
1038,8.554327e-07
1039,1.1945632e-06
1040,1.1666451e-06
1041,8.6323996e-07
1042,7.015843e-07
1043,6.4781887e-07
1044,6.078568e-07
1045,7.455986e-07
1046,8.217362e-07
1047,6.841328e-07
1048,7.495056e-07
1049,6.041156e-07
1050,5.8436916e-07
1051,8.584625e-07
1052,5.8000063e-07
1053,6.671011e-07
1054,8.804151e-07
1055,8.4599196e-07
1056,1.2027205e-06
1057,6.761376e-07
1058,8.563472e-07
1059,1.001919e-06
1060,8.089837e-07
1061,1.1911727e-06
1062,7.3670816e-07
1063,1.0261156e-06
1064,1.5413768e-06
1065,9.2441843e-07
1066,8.2466687e-07
1067,1.0395026e-06
1068,1.2212957e-06
1069,7.171533e-07
1070,8.4370714e-07
1071,1.1193821e-06
1072,7.9768216e-07
1073,1.0416873e-06
1074,1.0698536e-06
1075,1.1442387e-06
1076,1.1774814e-06
1077,1.1788836e-06
1078,9.1258164e-07
1079,1.0039926e-06
1080,9.1147683e-07
1081,8.0416265e-07
1082,9.00938e-07
1083,7.758975e-07
1084,8.036445e-07
1085,8.2930217e-07
1086,5.8187914e-07
1087,7.2059197e-07
1088,8.885776e-07
1089,6.2992314e-07
1090,7.852462e-07
1091,9.1761484e-07
1092,1.0289995e-06
1093,7.3087415e-07
1094,6.6634544e-07
1095,6.401498e-07
1096,7.886426e-07
1097,8.061969e-07
1098,7.6370617e-07
1099,8.0094276e-07
1100,7.7587384e-07
1101,7.0734797e-07
1102,7.940017e-07
1103,8.146782e-07
1104,8.7913514e-07
1105,6.8418547e-07
1106,5.641433e-07
1107,7.9363656e-07
1108,7.02499e-07
1109,6.1050247e-07
1110,8.0794615e-07
1111,9.254201e-07
1112,8.494637e-07
1113,7.656191e-07
1114,1.1371184e-06
1115,1.3456939e-06
1116,1.569364e-06
1117,1.3710105e-06
1118,9.160907e-07
1119,8.581607e-07
1120,6.332015e-07
1121,5.602855e-07
1122,7.2535596e-07
1123,6.5936655e-07
1124,7.5545614e-07
1125,8.7990355e-07
1126,8.559062e-07
1127,8.7484966e-07
1128,1.0129334e-06
1129,1.2326296e-06
1130,1.0655764e-06
1131,8.94361e-07
1132,7.9006077e-07
1133,1.0271493e-06
1134,7.3100216e-07
1135,7.6170534e-07
1136,8.7536e-07
1137,1.0477809e-06
1138,1.038827e-06
1139,7.2608833e-07
1140,8.7946876e-07
1141,6.183137e-07
1142,5.642447e-07
1143,9.682391e-07
1144,8.2377176e-07
1145,6.700967e-07
1146,1.1411465e-06
1147,9.1018063e-07
1148,5.667622e-07
1149,9.112633e-07
1150,6.0692116e-07
1151,6.0109227e-07
1152,8.6244273e-07
1153,8.0825623e-07
1154,7.63133e-07
1155,9.248699e-07
1156,8.716464e-07
1157,9.0554283e-07
1158,7.223083e-07
1159,6.6655673e-07
1160,9.1685604e-07
1161,7.8806335e-07
1162,8.477024e-07
1163,8.9302773e-07
1164,1.1980694e-06
1165,9.996751e-07
1166,1.2190375e-06
1167,9.133813e-07
1168,1.0892743e-06
1169,1.8081573e-06
1170,1.0768005e-06
1171,1.0268795e-06
1172,1.0153777e-06
1173,1.0231977e-06
1174,7.886256e-07
1175,8.962863e-07
1176,7.32832e-07
1177,1.1334953e-06
1178,8.428492e-07
1179,1.489761e-06
1180,8.4647775e-07
1181,8.165819e-07
1182,9.59901e-07
1183,8.322262e-07
1184,1.094909e-06
1185,8.977066e-07
1186,1.2404457e-06
1187,1.1504537e-06
1188,1.1634683e-06
1189,7.457479e-07
1190,8.756021e-07
1191,1.0083579e-06
1192,1.0573642e-06
1193,9.3623675e-07
1194,8.730087e-07
1195,1.1592876e-06
1196,1.3837767e-06
1197,9.601492e-07
1198,1.2589294e-06
1199,1.1401066e-06
1200,1.37742e-06
1201,1.3667651e-06
1202,1.4311179e-06
1203,1.2153391e-06
1204,1.2835762e-06
1205,1.1359382e-06
1206,1.2426374e-06
1207,1.1298752e-06
1208,8.7338884e-07
1209,1.0290721e-06
1210,9.213433e-07
1211,8.602004e-07
1212,8.595538e-07
1213,8.4667937e-07
1214,7.273619e-07
1215,8.636324e-07
1216,9.759705e-07
1217,8.837641e-07
1218,7.6350426e-07
1219,1.0420928e-06
1220,6.927366e-07
1221,7.619159e-07
1222,6.9974425e-07
1223,7.5972076e-07
1224,7.0265673e-07
1225,7.9017025e-07
1226,6.724057e-07
1227,6.407605e-07
1228,7.041865e-07
1229,4.969077e-07
1230,5.0442725e-07
1231,5.837177e-07
1232,8.297122e-07
1233,6.257999e-07
1234,6.280208e-07
1235,6.787256e-07
1236,7.539135e-07
1237,8.306217e-07
1238,6.393507e-07
1239,5.0611334e-07
1240,6.827731e-07
1241,7.0706926e-07
1242,4.1640428e-07
1243,5.2616855e-07
1244,6.138612e-07
1245,4.878151e-07
1246,5.0848814e-07
1247,4.4755453e-07
1248,7.577212e-07
1249,5.2629366e-07
1250,6.348079e-07
1251,4.4719008e-07
1252,5.6622537e-07
1253,5.6541995e-07
1254,4.29077e-07
1255,4.819568e-07
1256,4.504866e-07
1257,4.7734557e-07
1258,3.3077382e-07
1259,4.6350684e-07
1260,6.2236273e-07
1261,6.327934e-07
1262,7.067309e-07
1263,5.9342216e-07
1264,6.189065e-07
1265,9.636459e-07
1266,4.994587e-07
1267,4.1487746e-07
1268,4.741973e-07
1269,4.890333e-07
1270,3.9700157e-07
1271,4.5405787e-07
1272,4.5392943e-07
1273,4.501187e-07
1274,4.038703e-07
1275,5.7627386e-07
1276,6.029614e-07
1277,6.1318815e-07
1278,4.3782748e-07
1279,6.128801e-07
1280,5.939958e-07
1281,5.385482e-07
1282,4.650307e-07
1283,6.221122e-07
1284,6.9281066e-07
1285,6.622464e-07
1286,5.496904e-07
1287,7.2553485e-07
1288,7.742822e-07
1289,5.1684884e-07
1290,4.927746e-07
1291,6.781057e-07
1292,6.456024e-07
1293,5.7125465e-07
1294,6.60741e-07
1295,9.124598e-07
1296,1.1568192e-06
1297,9.689143e-07
1298,1.0315026e-06
1299,1.1082146e-06
1300,8.897646e-07
